Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount
07/01/2025,07/01/2025,07/03/2025,AAPL,Apple Inc,Buy,10,185.50,-1855.00
01/10/2026,01/10/2026,01/13/2026,TSLA,Tesla Inc,Buy,4,420.00,-1680.00
01/15/2026,01/15/2026,01/20/2026,NVDA,NVIDIA Corp,Buy,12,280.00,-3360.00
01/20/2026,01/20/2026,01/22/2026,META,Meta Platforms Inc,Buy,4,720.00,-2880.00
02/18/2026,02/18/2026,02/20/2026,NVDA,NVIDIA Corp,Sell,12,248.00,2976.00
03/04/2026,03/04/2026,03/06/2026,NVDA,NVIDIA Corp,Buy,12,252.00,-3024.00
03/10/2026,03/10/2026,03/12/2026,AAPL,Apple Inc,Buy,5,172.20,-861.00
03/20/2026,03/20/2026,03/24/2026,TSLA,Tesla Inc,Sell,4,360.00,1440.00
03/21/2026,03/21/2026,03/25/2026,SPY,SPDR S&P 500 ETF Trust,Buy,4,820.00,-3280.00
04/08/2026,04/08/2026,04/10/2026,TSLA,Tesla Inc,Buy,4,365.00,-1460.00
05/01/2026,05/01/2026,05/05/2026,NVDA,NVIDIA Corp,Buy,40,465.00,-18600.00
06/01/2026,06/01/2026,06/03/2026,AMD,Advanced Micro Devices,Buy,10,150.00,-1500.00
06/02/2026,06/02/2026,06/04/2026,MSFT,Microsoft Corp,Buy,8,415.00,-3320.00
07/15/2026,07/15/2026,07/17/2026,AMD,Advanced Micro Devices,Sell,10,120.00,1200.00
07/24/2026,07/24/2026,07/28/2026,AMD,Advanced Micro Devices,Buy,10,125.00,-1250.00
08/12/2026,08/12/2026,08/14/2026,MSFT,Microsoft Corp,Buy,2,420.00,-840.00
